Question,Answer,Ollama Fintuned Mistral,Correct,RAG - Open AI Gpt-4o-mini,Correct.1,RAG - Mistral-Large-Latest,Correct.2
What's the minimum investment for Investment Shield? Only answer with one number.,"50,000",500€,0.0,50000,1.0,"50,000",1.0
What is the coverage range offered by the insurance? Give the amount in Euro. Only answer with one number.,"1,950,000","1,000,000",0.0,1000000,0.0,1000000,0.0
How many protected events are covered by Investment Shield fraud protection? Only answer with one number.,6,10,0.0,5,0.0,6,1.0
To which amount in percent is my 30% loss due to fraud covered by Investment Shield? Only answer with one number.,100,100%,1.0,100,1.0,100,1.0
For Investment Shield premium structure what percentage is the quarterly payment option? Only answer with one number.,3,50,0.0,3,1.0,3,1.0
For Investment Shield premium structure what percentage is the monthly payment option? Only answer with one number.,5,Yes,0.0,5,1.0,5,1.0
"Is AlpenSicher Insurance AG headquartered in Vienna, Austria? Only answer yes or no.",No.,Yes,0.0,No.,1.0,No.,1.0
"Does AlpenSicher Property Shield provide coverage up to €5,000,000? Only answer yes or no.",No.,Yes,0.0,No.,1.0,No.,1.0
Is the supervisory board of AlpenSicher Insurance AG composed of 7 members? Only answer yes or no.,Yes.,Yes,1.0,Yes.,1.0,Yes.,1.0
Do customers have to book their AlpenSicher Holiday Dream Package within 12 months of the contract start date? Only answer yes or no.,No.,Yes,0.0,No.,1.0,No.,1.0
Is the maximum range of the MountainSpirit E-MTB 2024 in eco mode 150 km? Only answer yes or no.,No.,Yes,0.0,No.,1.0,No.,1.0
What is the nominal power output (in watts) of the Bosch Performance Line CX Gen 5 motor in the MountainSpirit E-MTB 2024? Only answer with one number.,250,250,1.0,250,1.0,250,1.0
How many hours does it take to fully charge the MountainSpirit E-MTB 2024 battery from 0 to 100%? Only answer with the number.,4,4,0.0,4.5,1.0,4.5,1.0
How much is the AlpenSicher Holiday Dream Package worth in euros? Just return the amount.,"€4,999","€4,999",1.0,"€4,999",1.0,"€4,999",1.0
What is the annual premium requirement (in euros) to qualify for the MountainSpirit E-MTB 2024 reward? Only return the amount.,€1000,"The annual premium requirement is €1,299.",0.0,€1000,1.0,€1000,1.0
How many benefits flight benefits has the AlpenSicher Holiday Dream Package? Only return the number.,6,10,0.0,6,1.0,6,1.0
